profile,attachment_label,repeat,turn_index,session_id,transport,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_pass,cost_pass,memory_recall_passes,memory_recall_total,marker_in_summary
pivot,100KB,0,4,7083ce85-ab5b-4d2b-80fe-b940be612ad5,in_process,60166,60000,8,0,0,29374,398,0.0,20427,none,,0,1,0,0,0
pivot,100KB,0,5,7083ce85-ab5b-4d2b-80fe-b940be612ad5,in_process,60231,60000,10,0,0,29394,397,0.0,6331,none,,1,1,0,0,0
pivot,100KB,0,6,7083ce85-ab5b-4d2b-80fe-b940be612ad5,in_process,60109,60000,12,0,0,29334,369,0.0,14657,none,,0,1,7,9,0
pivot,100KB,1,1,2476fba6-d1d9-4c22-b6ee-88769b3980b9,in_process,60178,60000,2,0,0,29200,392,0.0,6209,none,,1,1,0,0,0
pivot,100KB,1,2,2476fba6-d1d9-4c22-b6ee-88769b3980b9,in_process,60169,60000,4,0,0,29380,394,0.0,13747,none,,0,1,0,0,0
pivot,100KB,1,3,2476fba6-d1d9-4c22-b6ee-88769b3980b9,in_process,60116,60000,6,0,0,29299,351,0.0,15081,none,,0,1,0,0,0
pivot,100KB,1,4,2476fba6-d1d9-4c22-b6ee-88769b3980b9,in_process,60166,60000,8,0,0,29339,387,0.0,7053,none,,1,1,0,0,0
pivot,100KB,1,5,2476fba6-d1d9-4c22-b6ee-88769b3980b9,in_process,60231,60000,10,0,0,29433,398,0.0,15935,none,,0,1,0,0,0
pivot,100KB,1,6,2476fba6-d1d9-4c22-b6ee-88769b3980b9,in_process,60109,60000,12,0,0,29344,379,0.0,15675,none,,0,1,6,9,0
pivot,100KB,2,1,f1ddc1d2-d874-4ebc-945c-6368c52ab9fb,in_process,60178,60000,2,0,0,29217,381,0.0,6233,none,,1,1,0,0,0
pivot,100KB,2,2,f1ddc1d2-d874-4ebc-945c-6368c52ab9fb,in_process,60169,60000,4,0,0,29297,370,0.0,18678,none,,0,1,0,0,0
pivot,100KB,2,3,f1ddc1d2-d874-4ebc-945c-6368c52ab9fb,in_process,60116,60000,6,0,0,29319,387,0.0,14858,none,,0,1,0,0,0
pivot,100KB,2,4,f1ddc1d2-d874-4ebc-945c-6368c52ab9fb,in_process,60166,60000,8,0,0,29405,438,0.0,14588,none,,0,1,0,0,0
pivot,100KB,2,5,f1ddc1d2-d874-4ebc-945c-6368c52ab9fb,in_process,60231,60000,10,0,0,29472,372,0.0,14656,none,,0,1,0,0,0
pivot,100KB,2,6,f1ddc1d2-d874-4ebc-945c-6368c52ab9fb,in_process,60109,60000,12,0,0,29364,433,0.0,17754,none,,0,1,6,9,0
contradiction,0KB,0,1,713bc841-2240-4aa7-a8fa-b7f4f6879263,in_process,105,0,2,0,0,3577,441,0.0,6371,none,,1,1,0,0,0
contradiction,0KB,0,2,713bc841-2240-4aa7-a8fa-b7f4f6879263,in_process,86,0,4,0,0,2529,381,0.0,8433,none,,0,1,0,0,0
contradiction,0KB,0,3,713bc841-2240-4aa7-a8fa-b7f4f6879263,in_process,108,0,6,0,0,2652,400,0.0,7304,none,,1,1,0,0,0
contradiction,0KB,0,4,713bc841-2240-4aa7-a8fa-b7f4f6879263,in_process,74,0,8,0,0,2605,432,0.0,7025,none,,1,1,0,0,0
contradiction,0KB,0,5,713bc841-2240-4aa7-a8fa-b7f4f6879263,in_process,73,0,10,0,0,2742,513,0.0,9080,none,,0,1,0,0,0
contradiction,0KB,0,6,713bc841-2240-4aa7-a8fa-b7f4f6879263,in_process,78,0,12,0,0,2856,555,0.0,7213,none,,1,1,5,7,0
contradiction,0KB,1,1,730b3800-7a1d-40d3-bc06-c3fd9d47c72a,in_process,105,0,2,0,0,3511,408,0.0,8193,none,,0,1,0,0,0
contradiction,0KB,1,2,730b3800-7a1d-40d3-bc06-c3fd9d47c72a,in_process,86,0,4,0,0,2532,379,0.0,10583,none,,0,1,0,0,0
contradiction,0KB,1,3,730b3800-7a1d-40d3-bc06-c3fd9d47c72a,in_process,108,0,6,0,0,2638,391,0.0,7231,none,,1,1,0,0,0
contradiction,0KB,1,4,730b3800-7a1d-40d3-bc06-c3fd9d47c72a,in_process,74,0,8,0,0,2616,391,0.0,6654,none,,1,1,0,0,0
contradiction,0KB,1,5,730b3800-7a1d-40d3-bc06-c3fd9d47c72a,in_process,73,0,10,0,0,2611,435,0.0,6559,none,,1,1,0,0,0
contradiction,0KB,1,6,730b3800-7a1d-40d3-bc06-c3fd9d47c72a,in_process,78,0,12,0,0,2662,409,0.0,5957,none,,1,1,5,7,0
contradiction,0KB,2,1,7c40ae2f-a8ea-430d-b87a-eab4cddc6746,in_process,105,0,2,0,0,3591,475,0.0,7562,none,,1,1,0,0,0
contradiction,0KB,2,2,7c40ae2f-a8ea-430d-b87a-eab4cddc6746,in_process,86,0,4,0,0,2559,410,0.0,5614,none,,1,1,0,0,0
contradiction,0KB,2,3,7c40ae2f-a8ea-430d-b87a-eab4cddc6746,in_process,108,0,6,0,0,2668,381,0.0,5316,none,,1,1,0,0,0
contradiction,0KB,2,4,7c40ae2f-a8ea-430d-b87a-eab4cddc6746,in_process,74,0,8,0,0,2676,411,0.0,5730,none,,1,1,0,0,0
contradiction,0KB,2,5,7c40ae2f-a8ea-430d-b87a-eab4cddc6746,in_process,73,0,10,0,0,2719,517,0.0,7177,none,,1,1,0,0,0
contradiction,0KB,2,6,7c40ae2f-a8ea-430d-b87a-eab4cddc6746,in_process,78,0,12,0,0,2784,475,0.0,5978,none,,1,1,5,7,0
contradiction,5KB,0,1,822a0fb9-ef60-4bc7-8033-254df203ac10,in_process,2645,2495,2,0,0,3605,345,0.0,5495,none,,1,1,0,0,0
contradiction,5KB,0,2,822a0fb9-ef60-4bc7-8033-254df203ac10,in_process,2626,2495,4,0,0,3741,399,0.0,5542,none,,1,1,0,0,0
contradiction,5KB,0,3,822a0fb9-ef60-4bc7-8033-254df203ac10,in_process,2648,2495,6,0,0,3877,365,0.0,5551,none,,1,1,0,0,0
contradiction,5KB,0,4,822a0fb9-ef60-4bc7-8033-254df203ac10,in_process,2614,2495,8,0,0,3779,377,0.0,5355,none,,1,1,0,0,0
contradiction,5KB,0,5,822a0fb9-ef60-4bc7-8033-254df203ac10,in_process,2613,2495,10,0,0,3825,417,0.0,5912,none,,1,1,0,0,0
contradiction,5KB,0,6,822a0fb9-ef60-4bc7-8033-254df203ac10,in_process,2618,2495,12,0,0,3729,356,0.0,6141,none,,1,1,5,7,0
contradiction,5KB,1,1,878cc976-2fcb-413d-9f24-666c846d01c8,in_process,2645,2495,2,0,0,3618,351,0.0,5551,none,,1,1,0,0,0
contradiction,5KB,1,2,878cc976-2fcb-413d-9f24-666c846d01c8,in_process,2626,2495,4,0,0,3748,382,0.0,9002,none,,0,1,0,0,0
contradiction,5KB,1,3,878cc976-2fcb-413d-9f24-666c846d01c8,in_process,2648,2495,6,0,0,3844,414,0.0,5525,none,,1,1,0,0,0
contradiction,5KB,1,4,878cc976-2fcb-413d-9f24-666c846d01c8,in_process,2614,2495,8,0,0,3815,394,0.0,7502,none,,1,1,0,0,0
contradiction,5KB,1,5,878cc976-2fcb-413d-9f24-666c846d01c8,in_process,2613,2495,10,0,0,3853,467,0.0,12226,none,,0,1,0,0,0
contradiction,5KB,1,6,878cc976-2fcb-413d-9f24-666c846d01c8,in_process,2618,2495,12,0,0,3776,385,0.0,6216,none,,1,1,5,7,0
contradiction,5KB,2,1,5743b01a-145c-4656-8a02-f99954f5843c,in_process,2645,2495,2,0,0,3611,338,0.0,5236,none,,1,1,0,0,0
contradiction,5KB,2,2,5743b01a-145c-4656-8a02-f99954f5843c,in_process,2626,2495,4,0,0,3740,414,0.0,5803,none,,1,1,0,0,0
contradiction,5KB,2,3,5743b01a-145c-4656-8a02-f99954f5843c,in_process,2648,2495,6,0,0,3857,387,0.0,6637,none,,1,1,0,0,0
contradiction,5KB,2,4,5743b01a-145c-4656-8a02-f99954f5843c,in_process,2614,2495,8,0,0,3863,430,0.0,6221,none,,1,1,0,0,0
contradiction,5KB,2,5,5743b01a-145c-4656-8a02-f99954f5843c,in_process,2613,2495,10,0,0,3845,384,0.0,6024,none,,1,1,0,0,0
contradiction,5KB,2,6,5743b01a-145c-4656-8a02-f99954f5843c,in_process,2618,2495,12,0,0,3767,362,0.0,5527,none,,1,1,3,7,0
contradiction,20KB,0,1,e5194944-858d-45ce-9a39-1f937be9938d,in_process,10135,9984,2,0,0,7012,419,0.0,6791,none,,1,1,0,0,0
contradiction,20KB,0,2,e5194944-858d-45ce-9a39-1f937be9938d,in_process,10116,9984,4,0,0,7127,443,0.0,7153,none,,1,1,0,0,0
contradiction,20KB,0,3,e5194944-858d-45ce-9a39-1f937be9938d,in_process,10138,9984,6,0,0,7297,567,0.0,9354,none,,0,1,0,0,0
contradiction,20KB,0,4,e5194944-858d-45ce-9a39-1f937be9938d,in_process,10104,9984,8,0,0,7393,353,0.0,5724,none,,1,1,0,0,0
contradiction,20KB,0,5,e5194944-858d-45ce-9a39-1f937be9938d,in_process,10103,9984,10,0,0,7109,381,0.0,5832,none,,1,1,0,0,0
contradiction,20KB,0,6,e5194944-858d-45ce-9a39-1f937be9938d,in_process,10108,9984,12,0,0,7178,431,0.0,6870,none,,1,1,5,7,0
contradiction,20KB,1,1,3e2e3223-f974-499e-9cc2-12e58d046827,in_process,10135,9984,2,0,0,10314,442,0.0,6955,none,,1,1,0,0,0
contradiction,20KB,1,2,3e2e3223-f974-499e-9cc2-12e58d046827,in_process,10116,9984,4,0,0,7123,441,0.0,6989,none,,1,1,0,0,0
contradiction,20KB,1,3,3e2e3223-f974-499e-9cc2-12e58d046827,in_process,10138,9984,6,0,0,7282,511,0.0,11628,none,,0,1,0,0,0
contradiction,20KB,1,4,3e2e3223-f974-499e-9cc2-12e58d046827,in_process,10104,9984,8,0,0,7357,466,0.0,9678,none,,0,1,0,0,0
contradiction,20KB,1,5,3e2e3223-f974-499e-9cc2-12e58d046827,in_process,10103,9984,10,0,0,7306,506,0.0,17026,none,,0,1,0,0,0
contradiction,20KB,1,6,3e2e3223-f974-499e-9cc2-12e58d046827,in_process,10108,9984,12,0,0,7279,467,0.0,15283,none,,0,1,5,7,0
contradiction,20KB,2,1,ef32711f-17ab-4545-9593-75db9f676947,in_process,10135,9984,2,0,0,6957,352,0.0,15246,none,,0,1,0,0,0
contradiction,20KB,2,2,ef32711f-17ab-4545-9593-75db9f676947,in_process,10116,9984,4,0,0,7105,400,0.0,7954,none,,1,1,0,0,0
contradiction,20KB,2,3,ef32711f-17ab-4545-9593-75db9f676947,in_process,10138,9984,6,0,0,7182,394,0.0,8013,none,,0,1,0,0,0
contradiction,20KB,2,4,ef32711f-17ab-4545-9593-75db9f676947,in_process,10104,9984,8,0,0,7143,400,0.0,6900,none,,1,1,0,0,0
contradiction,20KB,2,5,ef32711f-17ab-4545-9593-75db9f676947,in_process,10103,9984,10,0,0,7155,427,0.0,7155,none,,1,1,0,0,0
contradiction,20KB,2,6,ef32711f-17ab-4545-9593-75db9f676947,in_process,10108,9984,12,0,0,7145,398,0.0,6688,none,,1,1,5,7,0
contradiction,50KB,0,1,0b6eb1b0-e8ac-4c32-bbb5-0548ba2bb64d,in_process,25114,24963,2,0,0,13636,353,0.0,6309,none,,1,1,0,0,0
contradiction,50KB,0,2,0b6eb1b0-e8ac-4c32-bbb5-0548ba2bb64d,in_process,25095,24963,4,0,0,13733,378,0.0,10122,none,,0,1,0,0,0
contradiction,50KB,0,3,0b6eb1b0-e8ac-4c32-bbb5-0548ba2bb64d,in_process,25117,24963,6,0,0,13848,397,0.0,6061,none,,1,1,0,0,0
contradiction,50KB,0,4,0b6eb1b0-e8ac-4c32-bbb5-0548ba2bb64d,in_process,25083,24963,8,0,0,13826,397,0.0,5908,none,,1,1,0,0,0
contradiction,50KB,0,5,0b6eb1b0-e8ac-4c32-bbb5-0548ba2bb64d,in_process,25082,24963,10,0,0,13827,376,0.0,9819,none,,0,1,0,0,0
contradiction,50KB,0,6,0b6eb1b0-e8ac-4c32-bbb5-0548ba2bb64d,in_process,25087,24963,12,0,0,13747,344,0.0,12672,none,,0,1,4,7,0
contradiction,50KB,1,1,fadb892a-fdcf-401a-b849-665a3dbd7187,in_process,25114,24963,2,0,0,13586,324,0.0,5124,none,,1,1,0,0,0
contradiction,50KB,1,2,fadb892a-fdcf-401a-b849-665a3dbd7187,in_process,25095,24963,4,0,0,13787,416,0.0,10052,none,,0,1,0,0,0
contradiction,50KB,1,3,fadb892a-fdcf-401a-b849-665a3dbd7187,in_process,25117,24963,6,0,0,13878,477,0.0,7209,none,,1,1,0,0,0
contradiction,50KB,1,4,fadb892a-fdcf-401a-b849-665a3dbd7187,in_process,25083,24963,8,0,0,13993,512,0.0,6994,none,,1,1,0,0,0
contradiction,50KB,1,5,fadb892a-fdcf-401a-b849-665a3dbd7187,in_process,25082,24963,10,0,0,14038,423,0.0,8922,none,,0,1,0,0,0
contradiction,50KB,1,6,fadb892a-fdcf-401a-b849-665a3dbd7187,in_process,25087,24963,12,0,0,13795,394,0.0,7351,none,,1,1,5,7,0
contradiction,50KB,2,1,f5ac5616-3cf4-4eff-b863-a23c99f32812,in_process,25114,24963,2,0,0,13629,353,0.0,5168,none,,1,1,0,0,0
contradiction,50KB,2,2,f5ac5616-3cf4-4eff-b863-a23c99f32812,in_process,25095,24963,4,0,0,13743,389,0.0,15449,none,,0,1,0,0,0
contradiction,50KB,2,3,f5ac5616-3cf4-4eff-b863-a23c99f32812,in_process,25117,24963,6,0,0,13873,471,0.0,8920,none,,0,1,0,0,0
contradiction,50KB,2,4,f5ac5616-3cf4-4eff-b863-a23c99f32812,in_process,25083,24963,8,0,0,13837,446,0.0,9630,none,,0,1,0,0,0
contradiction,50KB,2,5,f5ac5616-3cf4-4eff-b863-a23c99f32812,in_process,25082,24963,10,0,0,13968,417,0.0,7336,none,,1,1,0,0,0
contradiction,50KB,2,6,f5ac5616-3cf4-4eff-b863-a23c99f32812,in_process,25087,24963,12,0,0,13878,385,0.0,21332,none,,0,1,3,7,0
contradiction,100KB,0,1,b2e406b9-b3ea-4fd2-afd4-548ac199a043,in_process,60152,60000,2,0,0,29185,383,0.0,12093,none,,0,1,0,0,0
contradiction,100KB,0,2,b2e406b9-b3ea-4fd2-afd4-548ac199a043,in_process,60133,60000,4,0,0,29380,454,0.0,19216,none,,0,1,0,0,0
contradiction,100KB,0,3,b2e406b9-b3ea-4fd2-afd4-548ac199a043,in_process,60155,60000,6,0,0,29395,413,0.0,9145,none,,0,1,0,0,0
contradiction,100KB,0,4,b2e406b9-b3ea-4fd2-afd4-548ac199a043,in_process,60121,60000,8,0,0,29433,506,0.0,31043,none,,0,1,0,0,0
contradiction,100KB,0,5,b2e406b9-b3ea-4fd2-afd4-548ac199a043,in_process,60120,60000,10,0,0,29570,429,0.0,23463,none,,0,1,0,0,0
contradiction,100KB,0,6,b2e406b9-b3ea-4fd2-afd4-548ac199a043,in_process,60125,60000,12,0,0,29417,442,0.0,9263,none,,0,1,5,7,0
contradiction,100KB,1,1,c95c5e1e-3d32-465c-8b43-d9651545e549,in_process,60152,60000,2,0,0,29148,329,0.0,21244,none,,0,1,0,0,0
contradiction,100KB,1,2,c95c5e1e-3d32-465c-8b43-d9651545e549,in_process,60133,60000,4,0,0,29301,406,0.0,15371,none,,0,1,0,0,0
contradiction,100KB,1,3,c95c5e1e-3d32-465c-8b43-d9651545e549,in_process,60155,60000,6,0,0,29415,437,0.0,15767,none,,0,1,0,0,0
contradiction,100KB,1,4,c95c5e1e-3d32-465c-8b43-d9651545e549,in_process,60121,60000,8,0,0,29392,442,0.0,8145,none,,0,1,0,0,0
contradiction,100KB,1,5,c95c5e1e-3d32-465c-8b43-d9651545e549,in_process,60120,60000,10,0,0,29511,497,0.0,14942,none,,0,1,0,0,0
contradiction,100KB,1,6,c95c5e1e-3d32-465c-8b43-d9651545e549,in_process,60125,60000,12,0,0,29505,424,0.0,12785,none,,0,1,5,7,0
contradiction,100KB,2,1,f5cf3520-9aff-4b04-81e1-657765ae0d38,in_process,60152,60000,2,0,0,43597,422,0.0,10528,none,,0,1,0,0,0
contradiction,100KB,2,2,f5cf3520-9aff-4b04-81e1-657765ae0d38,in_process,60133,60000,4,0,0,29323,411,0.0,11245,none,,0,1,0,0,0
contradiction,100KB,2,3,f5cf3520-9aff-4b04-81e1-657765ae0d38,in_process,60155,60000,6,0,0,29395,366,0.0,10522,none,,0,1,0,0,0
contradiction,100KB,2,4,f5cf3520-9aff-4b04-81e1-657765ae0d38,in_process,60121,60000,8,0,0,43899,476,0.0,11934,none,,0,1,0,0,0
contradiction,100KB,2,5,f5cf3520-9aff-4b04-81e1-657765ae0d38,in_process,60120,60000,10,0,0,29370,423,0.0,9115,none,,0,1,0,0,0
contradiction,100KB,2,6,f5cf3520-9aff-4b04-81e1-657765ae0d38,in_process,60125,60000,12,0,0,29319,365,0.0,18151,none,,0,1,5,7,0
