profile,attachment_label,repeat,turn_index,session_id,transport,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_pass,cost_pass,memory_recall_passes,memory_recall_total,marker_in_summary
growing,5KB,2,5,61bb2722-1c62-46a6-9ea9-c16158689f29,in_process,2637,2495,10,0,0,3934,470,0.0,7955,none,,1,1,0,0,0
growing,5KB,2,6,61bb2722-1c62-46a6-9ea9-c16158689f29,in_process,2626,2495,12,0,0,4061,566,0.0,8603,none,,0,1,8,9,0
growing,20KB,0,1,88d0547d-87eb-48b7-a347-7d825044228a,in_process,10218,9984,2,0,0,7027,376,0.0,6768,none,,1,1,0,0,0
growing,20KB,0,2,88d0547d-87eb-48b7-a347-7d825044228a,in_process,10159,9984,4,0,0,7068,343,0.0,7467,none,,1,1,0,0,0
growing,20KB,0,3,88d0547d-87eb-48b7-a347-7d825044228a,in_process,10142,9984,6,0,0,7165,373,0.0,6968,none,,1,1,0,0,0
growing,20KB,0,4,88d0547d-87eb-48b7-a347-7d825044228a,in_process,10134,9984,8,0,0,7131,402,0.0,6455,none,,1,1,0,0,0
growing,20KB,0,5,88d0547d-87eb-48b7-a347-7d825044228a,in_process,10127,9984,10,0,0,7185,429,0.0,7421,none,,1,1,0,0,0
growing,20KB,0,6,88d0547d-87eb-48b7-a347-7d825044228a,in_process,10116,9984,12,0,0,7246,413,0.0,6362,none,,1,1,8,9,0
growing,20KB,1,1,402f8619-414a-4454-8226-a82440d7fb3e,in_process,10218,9984,2,0,0,7012,363,0.0,6136,none,,1,1,0,0,0
growing,20KB,1,2,402f8619-414a-4454-8226-a82440d7fb3e,in_process,10159,9984,4,0,0,7050,317,0.0,4939,none,,1,1,0,0,0
growing,20KB,1,3,402f8619-414a-4454-8226-a82440d7fb3e,in_process,10142,9984,6,0,0,7140,361,0.0,7383,none,,1,1,0,0,0
growing,20KB,1,4,402f8619-414a-4454-8226-a82440d7fb3e,in_process,10134,9984,8,0,0,7092,369,0.0,6056,none,,1,1,0,0,0
growing,20KB,1,5,402f8619-414a-4454-8226-a82440d7fb3e,in_process,10127,9984,10,0,0,7188,426,0.0,12274,none,,0,1,0,0,0
growing,20KB,1,6,402f8619-414a-4454-8226-a82440d7fb3e,in_process,10116,9984,12,0,0,7260,504,0.0,7666,none,,1,1,9,9,0
growing,20KB,2,1,8965f3a0-9ac9-4f8c-a6ae-a23eb71abd9e,in_process,10218,9984,2,0,0,7001,347,0.0,8890,none,,0,1,0,0,0
growing,20KB,2,2,8965f3a0-9ac9-4f8c-a6ae-a23eb71abd9e,in_process,10159,9984,4,0,0,7066,339,0.0,6624,none,,1,1,0,0,0
growing,20KB,2,3,8965f3a0-9ac9-4f8c-a6ae-a23eb71abd9e,in_process,10142,9984,6,0,0,7138,376,0.0,5643,none,,1,1,0,0,0
growing,20KB,2,4,8965f3a0-9ac9-4f8c-a6ae-a23eb71abd9e,in_process,10134,9984,8,0,0,7137,408,0.0,6684,none,,1,1,0,0,0
growing,20KB,2,5,8965f3a0-9ac9-4f8c-a6ae-a23eb71abd9e,in_process,10127,9984,10,0,0,7158,407,0.0,6286,none,,1,1,0,0,0
growing,20KB,2,6,8965f3a0-9ac9-4f8c-a6ae-a23eb71abd9e,in_process,10116,9984,12,0,0,7332,522,0.0,8819,none,,0,1,8,9,0
growing,50KB,0,1,59be5b0e-b022-4423-b562-ef65ded724b5,in_process,25197,24963,2,0,0,13675,336,0.0,7150,none,,1,1,0,0,0
growing,50KB,0,2,59be5b0e-b022-4423-b562-ef65ded724b5,in_process,25138,24963,4,0,0,13677,303,0.0,5201,none,,1,1,0,0,0
growing,50KB,0,3,59be5b0e-b022-4423-b562-ef65ded724b5,in_process,25121,24963,6,0,0,13776,379,0.0,14099,none,,0,1,0,0,0
growing,50KB,0,4,59be5b0e-b022-4423-b562-ef65ded724b5,in_process,25113,24963,8,0,0,13824,438,0.0,8737,none,,0,1,0,0,0
growing,50KB,0,5,59be5b0e-b022-4423-b562-ef65ded724b5,in_process,25106,24963,10,0,0,13880,416,0.0,6984,none,,1,1,0,0,0
growing,50KB,0,6,59be5b0e-b022-4423-b562-ef65ded724b5,in_process,25095,24963,12,0,0,13848,431,0.0,8861,none,,0,1,8,9,0
growing,50KB,1,1,0108bd77-2504-4e5c-b7eb-edf794edc701,in_process,25197,24963,2,0,0,13671,349,0.0,12416,none,,0,1,0,0,0
growing,50KB,1,2,0108bd77-2504-4e5c-b7eb-edf794edc701,in_process,25138,24963,4,0,0,13717,324,0.0,5581,none,,1,1,0,0,0
growing,50KB,1,3,0108bd77-2504-4e5c-b7eb-edf794edc701,in_process,25121,24963,6,0,0,13803,381,0.0,7031,none,,1,1,0,0,0
growing,50KB,1,4,0108bd77-2504-4e5c-b7eb-edf794edc701,in_process,25113,24963,8,0,0,13783,390,0.0,11064,none,,0,1,0,0,0
growing,50KB,1,5,0108bd77-2504-4e5c-b7eb-edf794edc701,in_process,25106,24963,10,0,0,13875,454,0.0,9200,none,,0,1,0,0,0
growing,50KB,1,6,0108bd77-2504-4e5c-b7eb-edf794edc701,in_process,25095,24963,12,0,0,13976,504,0.0,8691,none,,0,1,8,9,0
growing,50KB,2,1,25cd2e86-a749-49bd-b333-a25eb9e49624,in_process,25197,24963,2,0,0,13677,344,0.0,5492,none,,1,1,0,0,0
growing,50KB,2,2,25cd2e86-a749-49bd-b333-a25eb9e49624,in_process,25138,24963,4,0,0,13759,378,0.0,6884,none,,1,1,0,0,0
growing,50KB,2,3,25cd2e86-a749-49bd-b333-a25eb9e49624,in_process,25121,24963,6,0,0,13809,415,0.0,6502,none,,1,1,0,0,0
growing,50KB,2,4,25cd2e86-a749-49bd-b333-a25eb9e49624,in_process,25113,24963,8,0,0,13786,399,0.0,7146,none,,1,1,0,0,0
growing,50KB,2,5,25cd2e86-a749-49bd-b333-a25eb9e49624,in_process,25106,24963,10,0,0,13891,476,0.0,15194,none,,0,1,0,0,0
growing,50KB,2,6,25cd2e86-a749-49bd-b333-a25eb9e49624,in_process,25095,24963,12,0,0,14086,595,0.0,12124,none,,0,1,9,9,0
growing,100KB,0,1,cf78cf1e-1574-437b-b9b4-4fe663f1b524,in_process,60235,60000,2,0,0,29249,393,0.0,23284,none,,0,1,0,0,0
growing,100KB,0,2,cf78cf1e-1574-437b-b9b4-4fe663f1b524,in_process,60176,60000,4,0,0,29297,362,0.0,10881,none,,0,1,0,0,0
growing,100KB,0,3,cf78cf1e-1574-437b-b9b4-4fe663f1b524,in_process,60159,60000,6,0,0,29394,396,0.0,15914,none,,0,1,0,0,0
growing,100KB,0,4,cf78cf1e-1574-437b-b9b4-4fe663f1b524,in_process,60151,60000,8,0,0,29350,425,0.0,15197,none,,0,1,0,0,0
